"GO","In.ref","In.input","Expect","Over.under","FE","Bonferroni.pvalue","Cluster"
"apoptotic process (GO:0006915)",501,76,28.91,"+",2.63,2.19e-10,"Cluster 6"
"macromolecular complex assembly (GO:0065003)",480,72,27.69,"+",2.6,1.68e-09,"Cluster 6"
"molting cycle, collagen and cuticulin-based cuticle (GO:0018996)",320,48,18.46,"+",2.6,1.16e-05,"Cluster 6"
"programmed cell death (GO:0012501)",516,77,29.77,"+",2.59,3.37e-10,"Cluster 6"
"RNA processing (GO:0006396)",400,59,23.08,"+",2.56,3.84e-07,"Cluster 6"
"macromolecular complex subunit organization (GO:0043933)",521,76,30.06,"+",2.53,1.45e-09,"Cluster 6"
"molting cycle (GO:0042303)",337,49,19.44,"+",2.52,2.1e-05,"Cluster 6"
"nematode larval development (GO:0002119)",2071,299,119.49,"+",2.5,6.36e-47,"Cluster 6"
"larval development (GO:0002164)",2075,299,119.72,"+",2.5,9.36e-47,"Cluster 6"
"post-embryonic development (GO:0009791)",2095,300,120.87,"+",2.48,2.12e-46,"Cluster 6"
"cellular nitrogen compound biosynthetic process (GO:0044271)",1144,164,66,"+",2.48,7.59e-23,"Cluster 6"
"monovalent inorganic cation transport (GO:0015672)",238,34,13.73,"+",2.48,0.00548,"Cluster 6"
"cell death (GO:0008219)",556,78,32.08,"+",2.43,4.74e-09,"Cluster 6"
"organophosphate metabolic process (GO:0019637)",367,50,21.17,"+",2.36,0.000109,"Cluster 6"
"embryo development ending in birth or egg hatching (GO:0009792)",3024,407,174.47,"+",2.33,3.02e-60,"Cluster 6"
"gene expression (GO:0010467)",1353,182,78.06,"+",2.33,1.27e-22,"Cluster 6"
"intracellular protein transport (GO:0006886)",239,32,13.79,"+",2.32,0.0378,"Cluster 6"
"embryo development (GO:0009790)",3092,409,178.4,"+",2.29,1.43e-58,"Cluster 6"
"receptor-mediated endocytosis (GO:0006898)",724,93,41.77,"+",2.23,4.34e-09,"Cluster 6"
"cellular nitrogen compound metabolic process (GO:0034641)",2013,255,116.14,"+",2.2,1.29e-29,"Cluster 6"
"cellular component biogenesis (GO:0044085)",816,103,47.08,"+",2.19,7.33e-10,"Cluster 6"
"cellular biosynthetic process (GO:0044249)",1606,198,92.66,"+",2.14,1.75e-20,"Cluster 6"
"small molecule metabolic process (GO:0044281)",721,88,41.6,"+",2.12,2.26e-07,"Cluster 6"
"reproduction (GO:0000003)",2872,348,165.7,"+",2.1,2.61e-39,"Cluster 6"
"cellular macromolecule biosynthetic process (GO:0034645)",1210,143,69.81,"+",2.05,2.22e-12,"Cluster 6"
"cellular component assembly (GO:0022607)",668,79,38.54,"+",2.05,8.29e-06,"Cluster 6"
"macromolecule biosynthetic process (GO:0009059)",1215,143,70.1,"+",2.04,3.07e-12,"Cluster 6"
"organic substance biosynthetic process (GO:1901576)",1690,198,97.51,"+",2.03,5.5e-18,"Cluster 6"
"hermaphrodite genitalia development (GO:0040035)",736,86,42.46,"+",2.03,2.87e-06,"Cluster 6"
"endocytosis (GO:0006897)",850,99,49.04,"+",2.02,1.8e-07,"Cluster 6"
"body morphogenesis (GO:0010171)",631,73,36.41,"+",2.01,7.77e-05,"Cluster 6"
"genitalia development (GO:0048806)",747,86,43.1,"+",2,5.66e-06,"Cluster 6"
"biosynthetic process (GO:0009058)",1740,200,100.39,"+",1.99,2.73e-17,"Cluster 6"
"development of primary sexual characteristics (GO:0045137)",968,106,55.85,"+",1.9,1.11e-06,"Cluster 6"
"gonad development (GO:0008406)",968,106,55.85,"+",1.9,1.11e-06,"Cluster 6"
"single-organism biosynthetic process (GO:0044711)",493,54,28.44,"+",1.9,0.0217,"Cluster 6"
"multicellular organism development (GO:0007275)",4542,490,262.06,"+",1.87,2e-46,"Cluster 6"
"reproductive system development (GO:0061458)",983,106,56.72,"+",1.87,2.52e-06,"Cluster 6"
"reproductive structure development (GO:0048608)",983,106,56.72,"+",1.87,2.52e-06,"Cluster 6"
"single-organism developmental process (GO:0044767)",4809,512,277.46,"+",1.85,1.04e-47,"Cluster 6"
"anatomical structure development (GO:0048856)",4756,508,274.4,"+",1.85,1.37e-47,"Cluster 6"
"developmental process (GO:0032502)",4849,514,279.77,"+",1.84,2.14e-47,"Cluster 6"
"cellular protein metabolic process (GO:0044267)",1648,175,95.08,"+",1.84,1.58e-11,"Cluster 6"
"single-multicellular organism process (GO:0044707)",4651,492,268.34,"+",1.83,3.36e-44,"Cluster 6"
"organonitrogen compound metabolic process (GO:1901564)",2527,265,145.8,"+",1.82,9.58e-19,"Cluster 6"
"sex differentiation (GO:0007548)",1051,110,60.64,"+",1.81,5.98e-06,"Cluster 6"
"locomotion (GO:0040011)",1666,173,96.12,"+",1.8,1.58e-10,"Cluster 6"
"single organism reproductive process (GO:0044702)",1502,155,86.66,"+",1.79,6.27e-09,"Cluster 6"
"developmental process involved in reproduction (GO:0003006)",1332,136,76.85,"+",1.77,3.25e-07,"Cluster 6"
"vesicle-mediated transport (GO:0016192)",1022,104,58.97,"+",1.76,6.71e-05,"Cluster 6"
"single-organism transport (GO:0044765)",806,82,46.5,"+",1.76,0.00208,"Cluster 6"
"single-organism localization (GO:1902578)",851,86,49.1,"+",1.75,0.00146,"Cluster 6"
"animal organ development (GO:0048513)",1115,108,64.33,"+",1.68,0.000401,"Cluster 6"
"protein metabolic process (GO:0019538)",2061,195,118.91,"+",1.64,1.4e-08,"Cluster 6"
"aging (GO:0007568)",896,85,51.7,"+",1.64,0.0185,"Cluster 6"
"determination of adult lifespan (GO:0008340)",894,84,51.58,"+",1.63,0.0294,"Cluster 6"
"multicellular organism aging (GO:0010259)",894,84,51.58,"+",1.63,0.0294,"Cluster 6"
"reproductive process (GO:0022414)",1823,168,105.18,"+",1.6,3.58e-06,"Cluster 6"
"nitrogen compound metabolic process (GO:0006807)",3768,346,217.4,"+",1.59,1.62e-16,"Cluster 6"
"system development (GO:0048731)",1452,133,83.77,"+",1.59,0.000315,"Cluster 6"
"cellular metabolic process (GO:0044237)",3934,358,226.98,"+",1.58,1.11e-16,"Cluster 6"
"heterocycle metabolic process (GO:0046483)",1726,157,99.58,"+",1.58,3.13e-05,"Cluster 6"
"cellular component organization or biogenesis (GO:0071840)",1904,172,109.85,"+",1.57,9.11e-06,"Cluster 6"
"multicellular organismal process (GO:0032501)",5553,501,320.39,"+",1.56,2.01e-26,"Cluster 6"
"cellular aromatic compound metabolic process (GO:0006725)",1729,156,99.76,"+",1.56,5.86e-05,"Cluster 6"
"nucleobase-containing compound metabolic process (GO:0006139)",1676,151,96.7,"+",1.56,0.000111,"Cluster 6"
"organic cyclic compound metabolic process (GO:1901360)",1777,159,102.53,"+",1.55,7.18e-05,"Cluster 6"
"organelle organization (GO:0006996)",1199,107,69.18,"+",1.55,0.0175,"Cluster 6"
"primary metabolic process (GO:0044238)",4212,368,243.02,"+",1.51,1.93e-14,"Cluster 6"
"cellular macromolecule metabolic process (GO:0044260)",2953,258,170.38,"+",1.51,1.13e-08,"Cluster 6"
"organic substance metabolic process (GO:0071704)",4359,376,251.5,"+",1.5,5.28e-14,"Cluster 6"
"establishment of localization (GO:0051234)",2394,201,138.12,"+",1.46,9.98e-05,"Cluster 6"
"transport (GO:0006810)",2305,194,132.99,"+",1.46,0.000153,"Cluster 6"
"cellular component organization (GO:0016043)",1771,148,102.18,"+",1.45,0.0102,"Cluster 6"
"metabolic process (GO:0008152)",4926,405,284.21,"+",1.42,3.96e-12,"Cluster 6"
"macromolecule metabolic process (GO:0043170)",3433,281,198.07,"+",1.42,1e-06,"Cluster 6"
"single-organism cellular process (GO:0044763)",3764,307,217.17,"+",1.41,1.56e-07,"Cluster 6"
"localization (GO:0051179)",3112,244,179.55,"+",1.36,0.000742,"Cluster 6"
"single-organism process (GO:0044699)",8039,616,463.82,"+",1.33,5.08e-16,"Cluster 6"
"cellular process (GO:0009987)",7048,510,406.64,"+",1.25,6.4e-07,"Cluster 6"
"biological_process (GO:0008150)",11145,788,643.02,"+",1.23,1.34e-14,"Cluster 6"
